-1:475:[52.905895836240624, -3.710886453709888e-15]
-1:476:[59.83538013022604, -1.697292454540259e-15]
-1:477:[65.40864126871088, -3.2621747229131287e-15]
-1:478:[64.30144203312436, -3.953623200230162e-15]
-1:479:[68.25003040085927, -8.701796236687584e-15]
-1:480:[67.16287063791266, -3.795423714844727e-15]
-1:481:[73.60628284902495, -3.695841566715679e-15]
-1:482:[75.05258017657378, -1.0228722941376623e-14]
-1:483:[79.80798288103522, -8.601854157118828e-15]
-1:484:[79.897390545946, -7.155283405094063e-15]
-1:485:[86.72355462734178, -1.382305070824573e-16]
-1:486:[93.48079747812878, -7.214686882248857e-15]
-1:487:[95.06586758243411, -1.467118597103102e-16]
-1:488:[96.91095862025723, -6.502580976224868e-15]
-1:489:[103.24013606596179, -7.541638786826304e-15]
-1:490:[107.14142899778632, -3.3271015679733935e-15]
-1:491:[109.11773923638806, -1.5017214383807915e-14]
-1:492:[98.41237428292406, -1.0056395782834414e-14]
-1:493:[94.1810636060744, -9.774019332799181e-15]
-1:494:[96.29678275508886, -7.710743732611088e-15]
-1:495:[90.32338819659033, -4.407337118737043e-15]
-1:496:[67.0008438334529, -3.4936097075014358e-15]
